Experiment	bias spectroscopy	
-1.5786786E+0	11.989740E-15	-1.5786786E+0	-69.890433E-9	88.060080E-15	10.273729E-12
-1.5755755E+0	-16.034545E-15	-1.5755755E+0	-69.890433E-9	77.598769E-15	10.260094E-12
-1.5724723E+0	-8.1070633E-15	-1.5724723E+0	-69.890433E-9	98.989285E-15	10.281121E-12
-1.5693693E+0	-5.8850358E-15	-1.5693693E+0	-69.890433E-9	67.907038E-15	10.261237E-12
-1.5662662E+0	-3.6200693E-15	-1.5662662E+0	-69.890433E-9	57.913147E-15	10.258849E-12
-1.5631630E+0	-30.197473E-15	-1.5631630E+0	-69.890433E-9	76.888047E-15	10.269351E-12
-1.5600600E+0	-4.6353484E-15	-1.5600600E+0	-69.890433E-9	77.134920E-15	10.272681E-12
-1.5569569E+0	10.949660E-15	-1.5569569E+0	-69.890433E-9	83.233056E-15	10.268435E-12
-1.5538538E+0	-5.9259357E-15	-1.5538538E+0	-69.890433E-9	87.771817E-15	10.260521E-12
-1.5507507E+0	-16.644042E-15	-1.5507506E+0	-69.890433E-9	90.021618E-15	10.282108E-12
-1.5476476E+0	4.6271745E-15	-1.5476476E+0	-69.890433E-9	79.919605E-15	10.253588E-12
-1.5445445E+0	3.8528374E-15	-1.5445445E+0	-69.890433E-9	67.560283E-15	10.268246E-12
-1.5414414E+0	1.6546622E-15	-1.5414413E+0	-69.890433E-9	89.662286E-15	10.281781E-12
-1.5383382E+0	-13.817959E-15	-1.5383383E+0	-69.890433E-9	76.656658E-15	10.255456E-12
-1.5352352E+0	6.5841743E-15	-1.5352352E+0	-69.890433E-9	75.393149E-15	10.243557E-12
-1.5321320E+0	3.7048264E-15	-1.5321320E+0	-69.890433E-9	94.894666E-15	10.248997E-12
-1.5290289E+0	-13.861465E-15	-1.5290289E+0	-69.890433E-9	75.790265E-15	10.248784E-12
-1.5259259E+0	4.7356240E-15	-1.5259259E+0	-69.890433E-9	88.046432E-15	10.247954E-12
-1.5228227E+0	9.0167123E-15	-1.5228227E+0	-69.890433E-9	69.207505E-15	10.257313E-12
-1.5197196E+0	-15.972690E-15	-1.5197196E+0	-69.890433E-9	78.962038E-15	10.258340E-12
-1.5166166E+0	-14.278954E-15	-1.5166166E+0	-69.890433E-9	101.09509E-15	10.257075E-12
-1.5135134E+0	656.75864E-18	-1.5135134E+0	-69.890433E-9	66.270272E-15	10.269996E-12
-1.5104103E+0	22.330419E-15	-1.5104103E+0	-69.890433E-9	109.15308E-15	10.253045E-12
-1.5073073E+0	-3.2720440E-15	-1.5073072E+0	-69.890433E-9	72.793124E-15	10.272196E-12
-1.5042042E+0	-6.2259382E-15	-1.5042042E+0	-69.890433E-9	82.214549E-15	10.247452E-12
-1.5011010E+0	13.753924E-15	-1.5011010E+0	-69.890433E-9	91.696609E-15	10.255821E-12
-1.4979980E+0	24.353093E-15	-1.4979979E+0	-69.890433E-9	68.247911E-15	10.254112E-12
-1.4948947E+0	-996.47698E-18	-1.4948949E+0	-69.890433E-9	80.336399E-15	10.249096E-12
-1.4917917E+0	73.283358E-18	-1.4917917E+0	-69.890433E-9	81.272276E-15	10.253950E-12
-1.4886886E+0	33.863832E-15	-1.4886886E+0	-69.890433E-9	86.962684E-15	10.254330E-12
-1.4855855E+0	16.889461E-15	-1.4855855E+0	-69.890433E-9	92.221532E-15	10.247132E-12
